Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Attack on a German steel plant",2014-12-22,,"A threat actor compromised an unnamed steel mill by accessing the plant's business network and working its way into production networks and the systems controlling plant equipment. The compromise causes one of plant's furnaces to shut down.",,"Unnamed German steel mill",,Sabotage,"Private sector",https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/Securitysituation/IT-Security-Situation-in-Germany-2014.pdf?__blob=publicationFile&v=3,https://ics.sans.org/media/ICS-CPPE-case-Study-2-German-Steelworks_Facility.pdf,http://www.wired.com/2015/01/german-steel-mill-hack-destruction/
"Compromise of Boeing",2014-07-12,,"Su Bin, a Chinese national, pleaded guilty to hacking Boeing and other U.S. defense contractors for the purpose of passing confidential information to the People's Liberation Army.","Criminal charges   https://www.justice.gov/opa/pr/chinese-national-pleads-guilty-conspiring-hack-us-defense-contractors-systems-steal-sensitive","United States",China,Espionage,"Private sector",http://www.cbc.ca/news/canada/british-columbia/su-bin-chinese-man-accused-by-fbi-of-hacking-in-custody-in-b-c-1.2705169,http://www.theglobeandmail.com/news/national/vancouver-businessman-gets-jail-sentence-for-stealing-us-military-data/article30932488/,https://www.justice.gov/opa/pr/chinese-national-pleads-guilty-conspiring-hack-us-defense-contractors-systems-steal-sensitive
Machete,2014-08-20,,"This threat actor targets military, government entities, and telecommunications providers, primarily in Latin America, for the purpose of espionage.",,"Venezuela, Ecuador, Colombia, Russia, Brazil, Peru, Cuba, Spain, Sweden, China, Germany, United States, Belgium, France, Malaysia",,Espionage,"Military, Government",https://securelist.com/blog/research/66108/el-machete/,https://www.cylance.com/en_us/blog/el-machete-malware-attacks-cut-through-latam.html,
"Compromise of Canada's National Research Council",2014-07-29,,"A threat actor compromised the networks of Canada's National Research Council and exfiltrated data for espionage purposes. The government of Canada confirmed that Chinese state-sponsored actors were responsible.","Denouncement   http://news.gc.ca/web/article-en.do?nid=871449","National Research Council",China,Espionage,Government,https://web.archive.org/web/20140729142533/http://news.gc.ca/web/article-en.do?nid=871449,http://www.cbc.ca/news/politics/chinese-cyberattack-hits-canada-s-national-research-council-1.2721241,http://www.bbc.com/news/world-us-canada-28548925
"APT 12",2014-09-03,"Also known as IXESHE, Numbered Panda, and Group 22","This threat actor targets organizations in Japan, Taiwan, and elsewhere in East Asia—including electronics manufacturers and telecommunications companies—for espionage purposes.",,"Japan, Taiwan",China,Espionage,"Private sector, Government",https://www.fireeye.com/blog/threat-research/2014/09/darwins-favorite-apt-group-2.html,http://www.trendmicro.com/cloud-content/us/pdfs/security-intelligence/white-papers/wp_ixeshe.pdf,https://www.crowdstrike.com/blog/whois-numbered-panda/
"Compromise of U.S. Investigations Services",2014-08-06,"Related to the compromise at the Office of Personnel Management","The contractor responsible for security clearance at the U.S. Department of Homeland Security had their networks hacked and employee information was compromised.",,USIS,China,Espionage,"Private sector",https://web.archive.org/web/20150223064255/http://usis.com/Media-Release-Detail.aspx?dpid=151,http://bigstory.ap.org/article/427fbd5d88f5481eab35f5a8bbc534be/security-contractor-breach-not-detected-months,http://www.onapsis.com/blog/chinese-most-likely-using-one-top-three-most-common-sap-exploits-identified-onapsis-compromise
Careto,2014-02-10,"Also known as Mask and Ugly Face","This threat actor targets governments, diplomatic missions, private companies in the energy sector, and academics for espionage purposes.",,"Morocco, Brazil, United Kingdom, France, Spain, Switzerland, Libya, United States, Iran, Venezuela, South Africa, Germany, Poland, Tunisia",Spain,Espionage,"Government, Private sector",https://securelist.com/blog/research/58254/the-caretomask-apt-frequently-asked-questions/,http://www.wired.com/2014/02/mask/,https://www.schneier.com/blog/archives/2014/02/the_mask_espion.html
"Fake Occupy Central apps",2014-09-17,,"Threat actor targeted pro-democracy activists by enticing them to download and install malware-laden Android apps, allowing the threat actors to remotely track and record conversations on compromised phones.",,"Pro-democracy occupy central activists",China,Espionage,"Private sector",http://www.scmp.com/news/hong-kong/article/1594667/fake-occupy-central-app-targets-activists-smartphones,http://www.nytimes.com/2014/10/02/business/protesters-are-targets-of-scrutiny-through-their-phones.html,
"The Dukes",2013-02-01,"Also known as APT 29 and Cozy Bear. Estonian intelligence services associate this group with the Russian Federal Security Service (FSB) and Foreign Intelligence Service (SVR).","This threat actor targets government ministries and agencies in the West, Central Asia, East Africa, and the Middle East; Chechen extremist groups; Russian organized crime; and think tanks. It is suspected to be behind the 2015 compromise of unclassified networks at the White House, Department of State, Pentagon, and the Joint Chiefs of Staff. The threat actor includes all of the Dukes tool sets, including MiniDuke, CosmicDuke, OnionDuke, CozyDuke, SeaDuke, CloudDuke (aka MiniDionis), and HammerDuke (aka Hammertoss).",,"United States, Georgia, Brazil, China, Japan, Mexico, New Zealand, South Korea, Turkey, Ukraine, Belgium, Portugal, Romania, Kazakhstan, India","Russian Federation",Espionage,"Government, Private sector",https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf,https://www2.fireeye.com/rs/848-DID-242/images/rpt-apt29-hammertoss.pdf,https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/
Patchwork,2013-05-19,"Believed to be responsible for the attempted compromise of U.S. think tanks","This threat actor targets multiple entities, primarily around India but also in the United States, the Middle East, and China.",,"Bangladesh, Sri Lanka, Pakistan",India,Espionage,"Private sector, Military",https://s3-us-west-2.amazonaws.com/cymmetria-blog/public/Unveiling_Patchwork.pdf,https://www.forcepoint.com/sites/default/files/resources/files/forcepoint-security-labs-monsoon-analysis-report.pdf,https://www.bluecoat.com/security-blog/2013-05-20/hangover-report
"Compromise of the Finnish Ministry of Foreign Affairs",2013-11-01,"Believed to be the work of Turla","A threat actor compromised Finland’s Ministry of Foreign Affairs for espionage purposes. The threat actor specifically targeted communications between Finland and the European Union.",,"Ministry for Foreign Affairs","Russian Federation",Espionage,Government,http://www.mtv.fi/uutiset/kotimaa/artikkeli/mtv3-suomen-ulkoministerio-laajan-verkkovakoilun-kohteena-vuosia/2369718,http://arstechnica.com/tech-policy/2013/10/finlands-foreign-ministry-gets-pwned-by-red-october-malware/,https://yle.fi/uutiset/osasto/news/russian_group_behind_2013_foreign_ministry_hack/8591548
Kimsuky,2013-09-11,,"This threat actor targets South Korean think tanks, industry, nuclear power operators, and the Ministry of Unification for espionage purposes.","Denouncement   http://www.reuters.com/article/us-nuclear-southkorea-northkorea-idUSKBN0MD0GR20150317","Ministry of Unification, Sejong Institute, Korea Institute for Defense Analyses","Korea (Democratic People's Republic of)",Espionage,"Government, Private sector",https://securelist.com/analysis/publications/57915/the-kimsuky-operation-a-north-korean-apt/,http://www.reuters.com/article/us-nuclear-southkorea-northkorea-idUSKBN0MD0GR20150317,
admin@338,2013-10-31,,"This threat actor targets prodemocratic activists and organizations in Hong Kong, European and international financial institutions, and a U.S.-based think tank.",,"Hong Kong, United States",China,Espionage,"Government, Private sector, Civil society",https://www.fireeye.com/blog/threat-research/2013/10/know-your-enemy-tracking-a-rapidly-evolving-apt-actor.html,https://www.fireeye.com/blog/threat-research/2015/11/china-based-threat.html,
Mirage,2013-12-11,"Mirage is possibly linked to the Hellsing threat actor. It is also known as Vixen Panda, GREF, APT 15, and Playful Dragon. Believed to be associated with Winnti Umbrella","This threat actor uses phishing techniques to compromise the networks of foreign ministries of European countries for espionage purposes.",,"European Union, India, United Kingdom",China,Espionage,Government,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-ke3chang.pdf,http://researchcenter.paloaltonetworks.com/2016/05/operation-ke3chang-resurfaces-with-new-tidepool-malware/,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/press-releases/2018/march/new-tools-uncovered-from-hacking-group-apt15/
"Compromise of EADS and ThyssenKrupp",2013-02-25,,"Threat actors compromised the networks of European Aeronautic Defense and Space Company (EADS) and ThyssenKrupp, defense contractors with offices in Germany.",,"European Aeronautic Defense and Space Company (EADS), ThyssenKrupp",China,Espionage,"Private sector",http://www.spiegel.de/international/world/digital-spying-burdens-german-relations-with-beijing-a-885444.html,,
"PLA Unit 61398",2013-02-19,"Also known as APT 1, Comment Crew, Comment Panda, TG-8223, Group 3, GIF89a, and Byzantine Candor","U.S. cybersecurity firm Mandiant, later purchased by FireEye, released a report in February 2013 that exposed one of China’s cyber espionage units, Unit 61398. The group, which FireEye called APT 1, is a unit within China’s People’s Liberation Army (PLA) that has been linked to a wide range of cyber operations targeting U.S. private sector entities for espionage purposes. The comprehensive report detailed evidence connecting APT 1 and the PLA, offered insight into APT 1’s operational malware and methodologies, and provided timelines of the espionage it conducted.

FireEye termed Unit 61398 “APT 1” to indicate that the threat actor was an Advanced Persistent Threat, a type of operation in which the goal of the network intrusion is not only to gain access to a server or system, but also to retain ongoing access and engage in protracted cyber operations. The APT 1 report exposed the infrastructure of a cyber threat actor and gave both government and nongovernment organizations insight into the escalating nature of state-sponsored cyber operations.","Criminal charges   https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor","United States, United Kingdom, Switzerland, Taiwan, Singapore, Canada, Israel, India, France, Norway, Belgium, Luxembourg, United Arab Emirates, South Africa, Japan",China,Espionage,"Private sector, Government",https://web.archive.org/web/20130219155150/http://intelreport.mandiant.com/Mandiant_APT1_Report.pdf,http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf,http://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html
